result_id,car_number,starting_grid_position,final_position,points,laps,time,fastest_lap,top_speed_of_fl,constructor_id_id,driver_id_id,race_id_id
14524,20,24,DNS,0,0,,00:00:00,0,3,275,589
14532,10,19,8,0,52,,00:00:00,0,37,307,590
14533,15,21,9,0,52,,00:00:00,0,66,280,590
14534,5,3,10,0,52,,00:00:00,0,1,224,590
14535,27,25,11,0,51,,00:00:00,0,26,265,590
14536,28,20,12,0,49,,00:00:00,0,34,187,590
14537,1,1,13,0,48,,00:00:00,0,32,238,590
14552,2,5,3,4,31,,00:00:00,0,32,235,591
14553,18,12,4,3,31,,00:00:00,0,63,250,591
14554,33,7,5,2,31,,00:00:00,0,1,305,591
14555,1,4,6,1,31,,00:00:00,0,32,238,591
14556,7,2,7,0,31,,00:00:00,0,34,199,591
14557,4,16,8,0,31,,00:00:00,0,25,221,591
14558,24,18,9,0,31,,00:00:00,0,37,231,591
14559,14,17,10,0,31,,00:00:00,0,66,306,591
14560,26,21,11,0,31,,00:00:00,0,26,289,591
14561,6,11,12,0,31,,00:00:00,0,1,304,591
14562,3,14,13,0,31,,00:00:00,0,25,222,591
14563,15,22,14,0,30,,00:00:00,0,66,280,591
14564,8,24,15,0,30,,00:00:00,0,34,308,591
14565,37,23,16,0,30,,00:00:00,0,66,296,591
14566,19,10,17,0,30,,00:00:00,0,63,200,591
14583,6,9,9,0,77,,00:00:00,0,1,304,592
14584,10,19,10,0,77,,00:00:00,0,37,230,592
14585,18,2,11,0,77,,00:00:00,0,63,250,592
14586,26,18,12,0,77,,00:00:00,0,26,289,592
14587,29,22,13,0,76,,00:00:00,0,32,251,592
14588,32,24,14,0,76,,00:00:00,0,25,292,592
14589,37,25,15,0,75,,00:00:00,0,66,296,592
14590,12,1,16,0,74,,00:00:00,0,6,182,592
14591,8,23,17,0,74,,00:00:00,0,34,308,592
14592,15,21,18,0,72,,00:00:00,0,66,280,592
14593,23,20,19,0,71,,00:00:00,0,1,293,592
14604,5,4,3,4,83,,00:00:00,0,1,224,593
14605,9,13,4,3,82,,00:00:00,0,37,233,593
14606,3,9,5,2,82,,00:00:00,0,25,222,593
14607,6,8,6,1,82,,00:00:00,0,1,304,593
14608,16,21,7,0,81,,00:00:00,0,58,312,593
14609,4,16,8,0,81,,00:00:00,0,25,221,593
14610,33,17,9,0,81,,00:00:00,0,1,305,593
14611,24,10,10,0,81,,00:00:00,0,64,231,593
14612,28,15,11,0,80,,00:00:00,0,34,187,593
14613,15,20,12,0,80,,00:00:00,0,66,280,593
14614,18,14,13,0,78,,00:00:00,0,63,250,593
14615,23,25,14,0,76,,00:00:00,0,77,314,593
27309,31,11,5,10,56,+49.969s,00:01:35.74,204.967,210,839,1148
14635,33,13,7,0,84,,00:00:00,0,1,305,594
14636,26,29,8,0,83,,00:00:00,0,26,289,594
14637,10,31,9,0,83,,00:00:00,0,37,230,594
14627,27,0,DNQ,0,0,,00:00:00,0,26,265,593
14628,21,0,DNQ,0,0,,00:00:00,0,80,311,593
14638,41,23,10,0,83,,00:00:00,0,77,314,594
14639,28,19,11,0,83,,00:00:00,0,34,187,594
14640,27,21,12,0,82,,00:00:00,0,26,265,594
14641,17,17,13,0,82,,00:00:00,0,58,197,594
14642,21,30,14,0,82,,00:00:00,0,80,298,594
14643,22,14,15,0,82,,00:00:00,0,57,267,594
14644,37,25,16,0,82,,00:00:00,0,66,296,594
14645,34,27,17,0,81,,00:00:00,0,34,269,594
14646,16,18,18,0,80,,00:00:00,0,58,312,594
14700,22,26,DSQ,0,77,,00:00:00,0,57,267,596
14728,22,17,DSQ,0,69,,00:00:00,0,57,267,597
14665,5,13,5,2,77,,00:00:00,0,1,224,595
14666,28,23,6,1,77,,00:00:00,0,34,187,595
14667,26,21,7,0,76,,00:00:00,0,26,289,595
14668,27,26,8,0,75,,00:00:00,0,26,265,595
14669,4,4,9,0,74,,00:00:00,0,25,221,595
14694,26,15,6,1,79,,00:00:00,0,26,289,596
14695,27,18,7,0,79,,00:00:00,0,26,265,596
14696,21,21,8,0,79,,00:00:00,0,80,311,596
